Calc Date,Instrument,Close Price,Forward P/E (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Earnings Per Share - Mean,Revenue - Mean
2015-10-26,AAPL.O,28.82,11.75904165,13.316268303,2.2828,233288482740
2015-10-27,AAPL.O,28.6375,11.595837625,13.231944258,2.45981,245619417260
2015-10-28,AAPL.O,29.8175,12.013698151,13.777162738,2.46404,245118600290
2015-10-29,AAPL.O,30.1325,12.120674684,13.105474441,2.46748,245191608410
2015-10-30,AAPL.O,29.875,12.017509559,12.993480426,2.46748,245191608410
2015-11-02,AAPL.O,30.295,12.173141798,13.176150276,2.46834,245191608410
2015-11-03,AAPL.O,30.6425,12.309631892,13.327287831,2.46242,244760008800
2015-11-04,AAPL.O,30.5,12.27572735,13.26531056,2.46242,244760008800
2015-11-05,AAPL.O,30.23,12.163866105,13.147879942,2.46242,244760008800
2015-11-06,AAPL.O,30.265,12.172410752,13.16310243,2.46319,244772576780
2015-11-09,AAPL.O,30.1425,12.107206379,13.109823724,2.46452,244807684050
2015-11-10,AAPL.O,29.1925,11.733035928,12.696641919,2.46246,244580530030
2015-11-11,AAPL.O,29.0275,11.66371976,12.624878764,2.46246,244580530030
2015-11-12,AAPL.O,28.93,11.621553755,12.582473263,2.46246,244580530030
2015-11-13,AAPL.O,28.085,11.279206236,12.214958921,2.46246,244580530030
2015-11-16,AAPL.O,28.54375,11.455857834,12.41448224,2.46215,244558109120
2015-11-17,AAPL.O,28.4225,11.404261416,12.361747194,2.46215,244558109120
2015-11-18,AAPL.O,29.3225,11.762354262,12.753182587,2.46215,244558109120
2015-11-19,AAPL.O,29.695,11.908716315,12.915193347,2.46215,244558109120
2015-11-20,AAPL.O,29.825,11.957777299,12.971734015,2.46215,244558109120
2015-11-23,AAPL.O,29.4375,11.79332619,12.803199332,2.46215,244558109120
2015-11-24,AAPL.O,29.72,11.903648793,12.926066553,2.4621,244520700030
2015-11-25,AAPL.O,29.5075,11.816952346,12.833644307,2.46191,244550928920
2015-11-27,AAPL.O,29.4525,11.790496058,12.809723255,2.46113,244533609120
2015-11-30,AAPL.O,29.575,11.830348911,12.863001962,2.46113,244533609120
2015-12-01,AAPL.O,29.335,11.731311487,12.75861919,2.46113,244533609120
2015-12-02,AAPL.O,29.07,11.62233015,12.643363213,2.46113,244533609120
2015-12-03,AAPL.O,28.8,11.511407729,12.525932595,2.46113,244533609120
2015-12-04,AAPL.O,29.7575,11.891048538,12.942376361,2.46113,244533609120
2015-12-07,AAPL.O,29.57,11.806971936,12.86082732,2.46113,244533609120
2015-12-08,AAPL.O,29.5575,11.797433963,12.855390718,2.46113,244533609120
2015-12-09,AAPL.O,28.905,11.533999766,12.571600057,2.46113,244533609120
2015-12-10,AAPL.O,29.0425,11.585856387,12.631402687,2.462,244593631850
2015-12-11,AAPL.O,28.295,11.278073891,12.306293846,2.462,244593631850
2015-12-14,AAPL.O,28.12,11.220906353,12.230181409,2.45791,244255688710
2015-12-15,AAPL.O,27.6225,11.040293623,12.013804622,2.4473,243350882570
2015-12-16,AAPL.O,27.835,11.153394428,12.106226867,2.44526,243238355480
2015-12-17,AAPL.O,27.245,10.924954427,11.84961922,2.44363,243045991850
2015-12-18,AAPL.O,26.5075,10.626446399,11.528859662,2.44363,243045991850
2015-12-21,AAPL.O,26.8325,10.749997522,11.670211332,2.44159,242881082760
2015-12-22,AAPL.O,26.8075,10.766389069,11.659338126,2.43598,242291196390
2015-12-23,AAPL.O,27.1525,10.907101907,11.80938836,2.43521,242291196390
2015-12-24,AAPL.O,27.0075,10.846010211,11.746323769,2.43521,242291196390
2015-12-28,AAPL.O,26.705,10.713285617,11.614757984,2.43521,242291196390
2015-12-29,AAPL.O,27.185,10.903688822,11.823523527,2.43506,242291196390
2015-12-30,AAPL.O,26.83,10.758482287,11.669124011,2.43506,242291196390
2015-12-31,AAPL.O,26.315,10.549210679,11.44513598,2.43506,242291196390
2016-01-04,AAPL.O,26.3375,10.547184427,11.454921865,2.43506,242291196390
2016-01-05,AAPL.O,25.6775,10.2801898,11.167869243,2.43475,242264219120
2016-01-06,AAPL.O,25.175,10.071452716,10.949317815,2.43312,241755689120
2016-01-07,AAPL.O,24.1125,9.66293713,10.487206587,2.42746,241286861710
2016-01-08,AAPL.O,24.24,9.78227343,10.542659934,2.41537,240349176400
2016-01-11,AAPL.O,24.6325,10.009278487,10.713369258,2.3969,239004171960
2016-01-12,AAPL.O,24.99,10.167376188,10.868856095,2.39364,238567921960
2016-01-13,AAPL.O,24.3475,9.90345751,10.589414717,2.39364,238567921960
2016-01-14,AAPL.O,24.88,10.117488136,10.821013992,2.39364,238567921960
2016-01-15,AAPL.O,24.2825,9.888600705,10.561144383,2.38956,238242744180
2016-01-19,AAPL.O,24.165,9.853022114,10.510040318,2.38094,237483235290
2016-01-20,AAPL.O,24.1975,9.873857418,10.524175485,2.38094,237483235290
2016-01-21,AAPL.O,24.075,9.830460734,10.470896778,2.3726,236766759090
2016-01-22,AAPL.O,25.355,10.37276694,11.027604894,2.3726,236766759090
2016-01-25,AAPL.O,24.86,10.174528198,10.812315427,2.36911,236404480890
2016-01-26,AAPL.O,24.9975,10.245393292,10.872118057,2.36129,235195863300
2016-01-27,AAPL.O,23.355,9.866435978,10.157748464,2.29501,229069494490
2016-01-28,AAPL.O,23.5225,9.960764916,9.993881947,2.28495,228607680540
2016-01-29,AAPL.O,24.335,10.31022912,10.339084586,2.28495,228169768170
2016-02-01,AAPL.O,24.1075,10.215433268,10.242427847,2.28277,228169768170
2016-02-02,AAPL.O,23.62,10.006198134,10.035306264,2.27294,227465331580
2016-02-03,AAPL.O,24.0875,10.229539472,10.233930552,2.27294,227465331580
2016-02-04,AAPL.O,24.15,10.268714722,10.260484601,2.2699,227384211870
2016-02-05,AAPL.O,23.505,9.996751991,9.986446813,2.2699,227384211870
2016-02-08,AAPL.O,23.7525,10.093763859,10.091600848,2.2699,227384211870
2016-02-09,AAPL.O,23.7475,10.088892092,10.089476524,2.2699,227384211870
2016-02-10,AAPL.O,23.5675,10.009697172,10.013000862,2.2699,227384211870
2016-02-11,AAPL.O,23.425,9.946467181,9.95245763,2.26967,227365724690
2016-02-12,AAPL.O,23.4975,9.975511648,9.983260327,2.26967,227365724690
2016-02-16,AAPL.O,24.16,10.245619523,10.264733249,2.26967,227365724490
2016-02-17,AAPL.O,24.53,10.399702071,10.42193322,2.26967,227365724490
2016-02-18,AAPL.O,24.065,10.199790703,10.224371094,2.26967,227365724490
2016-02-19,AAPL.O,24.01,10.173716486,10.201003531,2.26967,227365724490
2016-02-22,AAPL.O,24.22,10.254348528,10.290225136,2.26967,227365724490
2016-02-23,AAPL.O,23.6725,10.01982797,10.057611665,2.26967,227365724490
2016-02-24,AAPL.O,24.025,10.166274121,10.207376502,2.26967,227365724490
2016-02-25,AAPL.O,24.19,10.233320028,10.277479192,2.26967,227365724490
2016-02-26,AAPL.O,24.2275,10.246406708,10.293411622,2.26967,227365724490
2016-02-29,AAPL.O,24.1725,10.21609629,10.270044058,2.26945,227365724490
2016-03-01,AAPL.O,25.1325,10.626890091,10.677914254,2.26784,227321281380
2016-03-02,AAPL.O,25.1875,10.647268227,10.701281817,2.26784,227319081380
2016-03-03,AAPL.O,25.375,10.723631724,10.780943965,2.26784,227319081380
2016-03-04,AAPL.O,25.7525,10.881126325,10.941330422,2.26671,227319081380
2016-03-07,AAPL.O,25.4675,10.755278696,10.820243957,2.2658,227274401380
2016-03-08,AAPL.O,25.2575,10.663682171,10.731022352,2.2658,227274401380
2016-03-09,AAPL.O,25.28,10.670270025,10.74058181,2.2658,227274401380
2016-03-10,AAPL.O,25.2925,10.67933567,10.74589262,2.26415,227305332180
2016-03-11,AAPL.O,25.565,10.791444702,10.861668274,2.26415,227305332180
2016-03-14,AAPL.O,25.63,10.810022011,10.889284485,2.26415,227305332180
2016-03-15,AAPL.O,26.145,11.02422483,11.10808985,2.26415,227305332180
2016-03-16,AAPL.O,26.4925,11.167139114,11.255730364,2.26432,227305332180
2016-03-17,AAPL.O,26.45,11.146185648,11.23767361,2.26432,227305332180
2016-03-18,AAPL.O,26.48,11.155786093,11.250419554,2.26432,227305332180
2016-03-21,AAPL.O,26.4775,11.146786462,11.249357392,2.26592,227438592800
2016-03-22,AAPL.O,26.68,11.218436401,11.335392511,2.268,227453186950
2016-03-23,AAPL.O,26.5325,11.146283422,11.272724955,2.268,227453186950
2016-03-24,AAPL.O,26.4175,11.094961094,11.223865505,2.268,227453186950
2016-03-28,AAPL.O,26.2975,11.032592339,11.17288173,2.268,227453186950
2016-03-29,AAPL.O,26.92,11.290689936,11.43736006,2.268,227453186950
2016-03-30,AAPL.O,27.39,11.481145576,11.63704651,2.26864,227503186950
2016-03-31,AAPL.O,27.2475,11.418318983,11.576503278,2.26864,227503186950
2016-04-01,AAPL.O,27.4975,11.520254172,11.682719475,2.26864,227503186950
2016-04-04,AAPL.O,27.78,11.646215514,11.802743777,2.26554,227153130310
2016-04-05,AAPL.O,27.4525,11.504206654,11.663600559,2.26575,227226702050
2016-04-06,AAPL.O,27.74,11.62154614,11.785749185,2.26575,227226702050
2016-04-07,AAPL.O,27.135,11.365014428,11.528705989,2.26575,227226702050
2016-04-08,AAPL.O,27.165,11.374509055,11.541451933,2.26575,227226702050
2016-04-11,AAPL.O,27.255,11.41776195,11.579689764,2.26263,226985802050
2016-04-12,AAPL.O,27.61,11.563357289,11.730516763,2.26263,226985802050
2016-04-13,AAPL.O,28.01,11.727714267,11.900462678,2.26331,227014702050
2016-04-14,AAPL.O,28.025,11.726988765,11.90683565,2.26331,227013377050
2016-04-15,AAPL.O,27.4625,11.488509669,11.667849207,2.26331,226953217780
2016-04-18,AAPL.O,26.87,11.230288038,11.416116821,2.26439,227079142780
2016-04-19,AAPL.O,26.7275,11.167350644,11.355573589,2.26444,227077680280
2016-04-20,AAPL.O,26.7825,11.195464275,11.378941152,2.26155,226821323700
2016-04-21,AAPL.O,26.4925,11.096615194,11.255730364,2.25891,226668434560
2016-04-22,AAPL.O,26.42,11.07125961,11.224927667,2.25804,226706688410
2016-04-25,AAPL.O,26.27,10.999704389,11.161197949,2.25804,226706688410
2016-04-26,AAPL.O,26.0875,10.945951474,11.083660125,2.21147,223645025590
2016-04-27,AAPL.O,24.455,11.051337496,10.390068361,2.09582,217027396670
2016-04-28,AAPL.O,23.7075,10.738407642,10.551767418,2.08565,216675935130
2016-04-29,AAPL.O,23.435,10.626225763,10.430482735,2.08677,216623911750
2016-05-02,AAPL.O,23.41,10.625126512,10.4193557,2.08239,216037037690
2016-05-03,AAPL.O,23.795,10.828376245,10.590712041,2.06647,215327174050
2016-05-04,AAPL.O,23.5475,10.712731512,10.480554393,2.06816,215327174050
2016-05-05,AAPL.O,23.31,10.601781469,10.37484756,2.06816,215327174050
2016-05-06,AAPL.O,23.18,10.539771563,10.316986977,2.06816,215327174050
2016-05-09,AAPL.O,23.1975,10.53736334,10.324775902,2.06864,215370066300
2016-05-10,AAPL.O,23.355,10.600511879,10.394876223,2.07065,215750799290
2016-05-11,AAPL.O,23.1275,10.499543099,10.293620203,2.07065,215750799290
2016-05-12,AAPL.O,22.585,10.250499907,10.052163541,2.07065,215750799290
2016-05-13,AAPL.O,22.63,10.26816353,10.072192204,2.07065,215750799290
2016-05-16,AAPL.O,23.47,10.640728385,10.446060584,2.07065,215750799290
2016-05-17,AAPL.O,23.3725,10.593679587,10.402665147,2.07065,215750799290
2016-05-18,AAPL.O,23.64,10.712050409,10.521724423,2.07065,215750799290
2016-05-19,AAPL.O,23.55,10.668405299,10.481667097,2.07065,215750799290
2016-05-20,AAPL.O,23.805,10.781030421,10.595162855,2.07065,215750799290
2016-05-23,AAPL.O,24.1075,10.914530481,10.72979998,2.07065,215750799290
2016-05-24,AAPL.O,24.475,11.077966218,10.893367397,2.07007,215683597180
2016-05-25,AAPL.O,24.905,11.280777087,11.084752401,2.07007,215683597180
2016-05-26,AAPL.O,25.1025,11.36724513,11.172655979,2.07007,215683597180
2016-05-27,AAPL.O,25.0875,11.357464863,11.165979758,2.07007,215683597180
2016-05-31,AAPL.O,24.965,11.29013137,11.111457286,2.07007,215683597180
2016-06-01,AAPL.O,24.615,11.128924132,10.955678794,2.07001,215671225340
2016-06-02,AAPL.O,24.43,11.057947713,10.873338734,2.07001,215671225340
2016-06-03,AAPL.O,24.48,11.077729203,10.895592804,2.07001,215671225340
2016-06-06,AAPL.O,24.6575,11.154810187,10.974594753,2.06864,216349582830
2016-06-07,AAPL.O,24.7575,11.197163391,11.019102894,2.06864,216349582830
2016-06-08,AAPL.O,24.735,11.184105531,11.009088562,2.06864,216349582830
2016-06-09,AAPL.O,24.9125,11.259559589,11.088090512,2.06938,216349582830
2016-06-10,AAPL.O,24.7075,11.164039677,10.996848824,2.06938,216349582830
2016-06-13,AAPL.O,24.335,10.987263909,10.831056,2.06938,216349582830
2016-06-14,AAPL.O,24.365,10.99798723,10.844408442,2.06938,216413961580
2016-06-15,AAPL.O,24.285,10.971270697,10.80880193,2.069,216389035730
2016-06-16,AAPL.O,24.3875,11.014945587,10.854422774,2.06877,216389035730
2016-06-17,AAPL.O,23.8325,10.780046838,10.607402594,2.06633,216309985730
2016-06-20,AAPL.O,23.775,10.74593591,10.581810413,2.06633,216309985730
2016-06-21,AAPL.O,23.9775,10.834741473,10.671939398,2.06633,216309985730
2016-06-22,AAPL.O,23.8875,10.791363305,10.631882071,2.06513,216241260730
2016-06-23,AAPL.O,24.025,10.873362548,10.693080764,2.06513,216241260730
2016-06-24,AAPL.O,23.35,10.565272403,10.392650816,2.06513,216241260730
2016-06-27,AAPL.O,23.01,10.408458619,10.241323138,2.06485,216241260730
2016-06-28,AAPL.O,23.3975,10.593796983,10.413792183,2.06337,216157985730
2016-06-29,AAPL.O,23.6,10.682891404,10.503921167,2.06337,216157985730
2016-06-30,AAPL.O,23.9,10.827935913,10.637445589,2.06198,216192113560
2016-07-01,AAPL.O,23.9725,10.858165109,10.669713991,2.06198,216192113560
2016-07-05,AAPL.O,23.7475,10.754157076,10.569570674,2.06115,216192113560
2016-07-06,AAPL.O,23.8825,10.813192154,10.629656664,2.06066,216140885730
2016-07-07,AAPL.O,23.985,10.856993112,10.675277508,2.06008,215344253310
2016-07-08,AAPL.O,24.17,10.963763702,10.757617568,2.0592,215344253310
2016-07-11,AAPL.O,24.245,11.015431432,10.790998674,2.05968,215434856980
2016-07-12,AAPL.O,24.355,11.065694706,10.839957628,2.05911,215424031980
2016-07-13,AAPL.O,24.2175,11.000733877,10.778758935,2.05911,215424031980
2016-07-14,AAPL.O,24.6975,11.221976804,10.99239801,2.05746,215341958020
2016-07-15,AAPL.O,24.695,11.229013225,10.991285306,2.05691,215312640950
2016-07-18,AAPL.O,24.9575,11.379289505,11.108119175,2.05552,215222543390
2016-07-19,AAPL.O,24.9675,11.380480681,11.112569989,2.05552,215212982420
2016-07-20,AAPL.O,24.99,11.389300249,11.122584321,2.05402,215189836070
2016-07-21,AAPL.O,24.8575,11.331570887,11.063611034,2.05402,215189836070
2016-07-22,AAPL.O,24.665,11.241383562,10.977932864,2.05402,215189836070
2016-07-25,AAPL.O,24.335,11.126349851,10.831056,2.05274,215038907600
2016-07-26,AAPL.O,24.1675,11.046023798,10.756504865,2.05699,215418198980
2016-07-27,AAPL.O,25.7375,11.724725042,11.455282671,2.07052,215920483130
2016-07-28,AAPL.O,26.085,11.873601265,12.18612039,2.06812,215808983130
2016-07-29,AAPL.O,26.0525,11.856498539,12.170937376,2.06812,215808983130
2016-08-01,AAPL.O,26.5125,12.058801406,12.385835416,2.06812,215808983130
2016-08-02,AAPL.O,26.12,11.880028263,12.202471327,2.06576,215455332200
2016-08-03,AAPL.O,26.4475,12.024079184,12.355469389,2.06576,215455332200
2016-08-04,AAPL.O,26.4675,12.030788159,12.364812782,2.06576,215455332200
2016-08-05,AAPL.O,26.87,12.211325212,12.552848567,2.06576,215455332200
2016-08-08,AAPL.O,27.0925,12.305131697,12.656793815,2.06576,215455332200
2016-08-09,AAPL.O,27.2025,12.352647385,12.708182476,2.06576,215455332200
2016-08-10,AAPL.O,27.0,12.258267073,12.613580622,2.06576,215455332200
