Date,.SPX,SMA_200,bear_market,year_month,GPN.N,CINF.OQ,K.N,LEN.N,JBHT.OQ,DG.N,VMC.N,FRT.N,PODD.OQ,FANG.OQ,WY.N,AWK.N,GDDY.N,PCG.N,VRSK.OQ,TJX.N,PSX.N,REG.OQ,HOLX.OQ,BKR.OQ,NRG.N,MKTX.OQ,BDX.N,HUBB.N,TMUS.OQ,ABT.N,IRM.N,CAT.N,ESS.N,PFE.N,ODFL.OQ,COIN.OQ,DOC.N,AOS.N,AJG.N,VLTO.N,HLT.N,AVB.N,AEE.N,ARE.N,DPZ.OQ,PCAR.OQ,HAS.OQ,TDY.N,TRV.N,CB.N,POOL.OQ,HD.N,ORLY.OQ,COST.OQ
2016-06-30,2098.86,2022.6128999999992,False,2016-06,71.38,74.38988458,76.6146445,43.825472664,80.93,94.0,120.36,165.55,30.24,88.01196564,27.476058197,84.51,31.19,63.92,81.08,38.615,79.34,83.73,34.6,31.43764826,14.99,145.4,165.3400746,105.47,43.27,39.31,39.83,75.81,228.09,33.37728429,20.103343385,,32.2087137,44.055,47.6,,47.630553969,180.39,53.58,103.52,131.38,31.384421003,83.99,99.05,119.04,130.71,94.03,127.69,18.0734237,143.816413249
2016-07-29,2173.6,2041.3584499999988,False,2016-07,74.66,74.2011534,77.6092743,44.490935373,83.13,94.74,123.98,169.7,35.39,84.71187878,30.198744515,82.58,29.92,63.94,85.28,40.86,76.06,84.93,38.49,33.31847366,13.84,161.66,171.58944,107.83,46.34,44.75,41.21,82.76,233.88,34.96983861,23.22001161,,35.71361895,46.445,49.19,,49.025856482,185.65,52.44,112.3,147.3,35.680341364,81.23,105.0,116.22,125.26,102.28,138.24,19.37543021,153.139204174
2016-08-31,2170.95,2054.3788,False,2016-08,75.95,76.59505942,77.1401093,44.966265879,79.39,73.41,113.87,159.0,42.33,91.91031386,29.395782787,73.99,32.38,61.94,83.05,38.72,78.45,80.54,38.42,34.22405626,12.11,168.54,172.7691174,108.31,46.34,42.02,38.41,81.95,227.1,32.9886252,23.710011855,,35.80465545,48.24,49.41,,50.46344089,175.01,49.42,110.09,149.57,36.206742873,81.74,107.14,118.71,126.93,100.87,134.12,18.66342665,148.44117692
2016-09-30,2168.27,2063.7642499999993,False,2016-09,76.76,74.91634524,72.6924251,40.250987258,81.14,69.99,113.73,153.93,40.94,93.155083465,29.478847794,74.84,34.53,61.17,81.28,37.39,80.55,77.49,38.83,35.15750294,11.21,165.59,175.2259662,107.74,46.72,42.29,37.53,88.77,222.7,32.10703263,22.870011435,,34.54835175,49.395,50.87,,48.476191856,177.84,49.18,108.77,151.85,35.565380115,79.33,107.93,114.55,125.65,94.52,128.68,18.67409337,139.667862866
2016-10-31,2126.15,2078.8433499999983,False,2016-10,72.52,70.30733116,70.4967329,39.6330576,81.61,69.09,113.2,145.23,37.12,88.089160654,27.623729319,74.04,35.79,62.12,81.55,36.875,81.15,72.07,36.01,38.5917508,10.63,150.76,163.7021754,104.52,49.73,39.24,33.73,83.46,214.09,30.05946279,24.89334578,,31.18000125,45.17,48.23,,47.778540599,171.18,49.95,107.81,169.24,33.22985158,83.41,107.68,108.18,127.0,92.58,122.01,17.62942148,135.418575058
2016-11-30,2198.81,2107.9767499999966,False,2016-11,68.55,76.22753028,67.55976,40.441119461,95.37,77.32,125.65,140.42,33.65,104.068528607,28.454379382,72.47,35.34,58.8,83.08,39.17,83.08,66.84,38.28,44.81240666,11.34,165.77,164.862354,112.28,54.21,38.07,33.0,95.56,215.92,30.46708086,29.10001455,,29.53,48.63,50.35,,53.00035455,164.49,49.12,109.59,168.04,37.604429638,85.39,124.87,113.35,128.0,100.61,129.4,18.3000915,137.469955379
2016-12-30,2238.83,2136.333949999997,False,2016-12,69.41,75.2441415,69.1643043,40.811877255,97.07,74.07,125.15,142.11,37.68,97.516601771,27.771400442,72.36,34.95,60.77,81.17,37.565,86.41,68.95,40.12,45.25823194,12.26,146.92,161.401317,116.7,57.51,38.41,32.48,92.74,232.5,30.78938352,28.596680965,,29.72,47.35,51.96,,57.503376297,177.15,52.46,111.13,159.24,39.011775438,77.79,123.0,122.42,132.12,104.34,134.08,18.56075947,146.627903243
2017-01-31,2278.87,2158.199199999998,False,2017-01,77.28,70.10866676,68.2259743,42.447014196,99.08,73.82,128.33,140.43,41.6,101.482495629,28.91585164,73.44,35.73,61.89,82.64,37.46,81.62,69.73,40.53,43.94165416,16.54,187.25,172.8471126,122.08,62.27,41.77,35.8,95.66,224.3,30.07842177,29.42668138,,30.32,48.75,53.83,,57.58,173.31,52.65,110.82,174.54,41.093624487,82.51,122.87,117.78,131.49,105.56,137.58,17.48475409,150.144555222
2017-02-28,2363.64,2182.1822499999976,False,2017-02,79.69,72.47277312,69.5021031,46.382750787,98.17,73.02,120.61,140.73,43.56,97.323614236,31.121689029,78.0,36.85,66.75,82.92,39.225,78.19,70.35,40.58,41.99116856,16.56,195.23,178.462767,118.62,62.53,45.08,36.35,96.66,234.7,32.34401988,30.58668196,,32.79,50.36,56.95,,57.2,183.78,54.69,119.31,189.81,40.788368028,96.87,131.41,122.24,138.17,114.71,144.91,18.11409057,162.260520246
2017-03-31,2362.72,2214.9515999999976,False,2017-03,80.68,71.78738094,68.1321413,48.664337216,91.74,69.73,120.48,133.5,43.09,100.078511307,31.361654603,77.77,37.9,66.36,81.14,39.54,79.22,66.39,42.55,41.67073164,18.7,187.49,178.8429936,120.05,64.59,44.41,35.67,92.76,231.53,32.42933529,28.523347595,,31.28,51.16,56.54,,58.46,183.6,54.59,110.52,184.3,41.026468066,99.82,126.46,120.54,136.25,119.33,146.83,17.98942328,153.569627723
